Sentiment,Tweets,Cleaned_Tweets,Word_Count,Character_Count
1,@Mcflying_Kim it's got all about you playing in the background  mcfly aren't actually in it ,got playing background mcfly arent actually,6,43
0,"@Sewwychristine Ugh, that sucks! Couldn't he play WoW on the laptop, or play it later? Gah ",ugh suck couldnt play wow laptop play later gah,9,47
1,"...Pushing Daisies, The Reaper, Sit Down Shut Up, The Big Bang Theory y las season finales de Heroes y Chuck y en eso ocupare mi sabado ",pushing daisy reaper sit shut big bang theory la season finale de hero chuck en eso ocupare mi sabado,19,101
1,is playing Restaurant City ,playing restaurant city,3,23
1,@CharityIdeas Welcome - my pleasure!  ,welcome pleasure,2,16
1,laying on a floaty in the pool studying for finals. ,laying floaty pool studying final,5,33
0,i dont know if im making the right decision ,dont know im making right decision,6,34
0, you can try and forget me.,try forget,2,10
0,@pinkgirlellie i can't find it ,cant find,2,9
0, i feel like i need some good company tonight. Why does it feel like no one's around?,feel like need good company tonight doe feel like one around,11,60
0,Work/Class...then going to look at HDMI Cables? Any Suggestions...there are too many to chose from...I just don't understand! ,workclassthen going look hdmi cable suggestionsthere many chose fromi dont understand,11,85
1,"is letting the creative writing flow. Good results, so far ",letting creative writing flow good result far,7,45
1,Successfully upgraded macbook hard drive. 320 GB 7200 rpm. Faster speed actually makes a diff. Quite pleased ,successfully upgraded macbook hard drive 320 gb 7200 rpm faster speed actually make diff quite pleased,16,102
0,Dad wants to take our dog to the pound! ,dad want take dog pound,5,23
1,Waking up at disney makes me happy ,waking disney make happy,4,24
0,@MsAsHleY33 tell me whats going on? You get all moved in and now it seems like you are tireing of me. ,tell whats going get moved seems like tireing,8,45
1,"@jenna_saisquoi hang in there. just build a fortress out of books, boxes &amp; poster tubes until Denver.  ",hang build fortress book box amp poster tube denver,9,51
1,@jonasbrothers http://twitpic.com/624qo - aw cute!   Happy Birthday Elvis!,aw cute happy birthday elvis,5,28
0,"Monday morning exams such, ruined my sleeping patten ",monday morning exam ruined sleeping patten,6,42
0,"Daddy was choosing &quot;eagle eye&quot; &amp; me,my lil bro &amp; my stephmother was (more me &amp; steph) was not in a good mood after watching, so horrible ",daddy wa choosing quoteagle eyequot amp memy lil bro amp stephmother wa amp steph wa good mood watching horrible,19,112
0,has recently survived another nosebleed attack. :| it sucks to have an injury inside the nose. ,ha recently survived another nosebleed attack suck injury inside nose,10,69
0,@sheribomb I am lost. Please help me find a good home. ,lost please help find good home,6,31
0,headache ,headache,1,8
1,"@meesterbob food is better, people are polite, weather is nicer. i can buy a house for about 200k less there than here. whats not to like ",food better people polite weather nicer buy house 200k le whats like,12,68
0,taking cat to the vet today.. to get spayed. ,taking cat vet today get spayed,6,31
0,@SAMHOOKCOMPOUND i have no idea. i woke up and now i cant go back to sleep.  lol,idea woke cant go back sleep lol,7,32
1,@dazeofourlives: aww robert. i have really good memories at washington square park ,aww robert really good memory washington square park,8,52
1,@rachelbaker thanks ,thanks,1,6
1,@james_a_michael  Wow!  Just reading your tweets.  You can only have water during your fast?  You're going to be peeing ALL the time!  ,wow reading tweet water fast youre going peeing time,9,52
1,Sleepy the whole morning... Ngayon lang nagka-energy to move around... ,sleepy whole morning ngayon lang nagkaenergy move around,8,56
1,All in all good result for Ireland so happy enough. ,good result ireland happy enough,5,32
1,"Beautiful Gourmet Candles, clean burning, 90% soot free, and richly scented, you will love them www.TheHeavenlyGourmetCandles.com  ",beautiful gourmet candle clean burning 90 soot free richly scented love,11,71
1,@daizy26 Shame! *hands over ears &amp; eyes* (if that's possible) I'm not listening or looking! lol!!!  This is going to be a tough 39 days!,shame hand ear amp eye thats possible im listening looking lol going tough 39 day,15,81
1,@joshgracin Did you get stung?  The bees and bugs in the South are horrible.  Hope you weren't attacked too badly ,get stung bee bug south horrible hope werent attacked badly,10,59
1,Christ last night the baby went mental !!! She sounded like a fog horn at 2 this morn  little shit but I love her ,christ last night baby went mental sounded like fog horn 2 morn little shit love,15,80
0, was on a bus this morning at 6.49  not good,wa bus morning 649 good,5,23
0,@Alyssa_Milano awww thats pitiful  poor lil baby,awww thats pitiful poor lil baby,6,32
1,"I eat 5 times day, go to bathroom once, and my weight isn't increasing.. so I am wondering where are all foods going? ",eat 5 time day go bathroom weight isnt increasing wondering food going,12,70
0,@sirwilliams8 HEEEYYYYY!  I NEED UR NUMBER...LOST MY PHONE! ,heeeyyyyy need ur numberlost phone,5,34
1,@jasoncastro I will have a lovely PB&amp;J ready for you when you get here to ORYGUN.  ,lovely pbampj ready get orygun,5,30
0,I was doing so good working out with my Wii fit now I have broke my left arm what a set back ,wa good working wii fit broke left arm set back,10,47
0,"@Fishoutofsea @citygirl912 wonder twin powers??  My twin @feiticeira deactivated our powers, ish very sad",wonder twin power twin deactivated power ish sad,8,48
1,@kgrace - I relate to that Grace.. especially the relational reality of coffee ,relate grace especially relational reality coffee,6,49
1,@princess_lia: i'm gonna make some extra money by working part time  gonna buy watches!,im gon na make extra money working part time gon na buy watch,13,61
0,"ugh, where did the weekend go ",ugh weekend go,3,14
1,@ddlovato http://twitpic.com/59s0j - awwww!! fun! it's like winter in the middle of summer! (sorta) lol ,fun like winter middle summer sorta lol,7,39
1,The reason you don't give a 3 year old chocolate!!! Jake my nephew  http://yfrog.com/03wbsj,reason dont give 3 year old chocolate jake nephew,9,49
1,just watched some footage from the @BWFNL epic sleepover xD Funn timezz  &lt;3333333,watched footage epic sleepover xd funn timezz lt3333333,8,55
1,"@bwagy its good people like you, aren't scared to say the real tweets! transparency is shown for real! cheers ",good people like arent scared say real tweet transparency shown real cheer,12,74
0,I wish I was with my momma at chopard the old car race ,wish wa momma chopard old car race,7,34
1,"@simeonoriko LOOOOOL ati always excited? i'm a better actor than i thought, apparently  I'm alright, hopped up on ice coffee. yum! you?",loooool ati always excited im better actor thought apparently im alright hopped ice coffee yum,15,94
1,@bmcmartin2020 your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/15659/ ,tweet wa included longest poem world,6,36
0,says work till morning....good luck for me...  http://plurk.com/p/12imy9,say work till morninggood luck,5,30
1,@amandasuanne we were there last night. Passed through on the way to Goat Feathers. ,last night passed way goat feather,6,34
0,no body to call and talk too ,body call talk,3,14
1,@DJChito Aww good ,aww good,2,8
1,@haley_helena the world would blow up ,world would blow,3,16
1,"@Nadia_Fly haiyaaa..i wish i can sleep now..i tried but still..erm gud part is...im no longer workin,and start job hunt again.. ",haiyaaai wish sleep nowi tried stillerm gud part isim longer workinand start job hunt,14,85
0,third #familyforce5 ,third # familyforce5,3,20
1,@junkiecat Yep and I will be all better soon ,yep better soon,3,15
0,Standing in line for Kawasaki demo sign up. I'm far enough back that I might miss out on the bike I want to ride. ,standing line kawasaki demo sign im far enough back might miss bike want ride,14,77
1,@savagepaul we wouldn't pay for followers ,wouldnt pay follower,3,20
0,it rained and the markets closed  fml. [TFV],rained market closed fml tfv,5,28
0,@WMSPhotography you just hurt my feelings ,hurt feeling,2,12
0,@carsondelfer im jealous  MAMA D left yesterday...sounds like our weekend,im jealous mama left yesterdaysounds like weekend,7,49
1,nice  &gt; @casparterhorst: #3wordsduringsex Is this Central? (for all of you who know or are in HongKong),nice gt # 3wordsduringsex central know hongkong,7,47
0,Cleaning my room.. ,cleaning room,2,13
1,@LilyGreenXxX i'll post on my twitter &quot;LilyGreenXxX R.I.P&quot; ,ill post twitter quotlilygreenxxx ripquot,5,41
1,Home Sweet Home ! &quot;It's been a Hard Days Night and I'll be sleeping like a log&quot; ,home sweet home quotits hard day night ill sleeping like logquot,11,64
0,"@ninghil Why?  i mean, what's with the song? Demet.",mean whats song demet,4,21
1,i should be revising.... sod that ,revising sod,2,12
1,@shbadr Yeah! you should be in stockholm. great music at F12 tonight ,yeah stockholm great music f12 tonight,6,38
0,Lost her again    ,lost,1,4
0,@JeanneBehr we had looked into getting tix to see the Pens play in Carolina...but way toooo pricey for us   only a 4 hour drive though...,looked getting tix see pen play carolinabut way toooo pricey u 4 hour drive though,15,82
1,@TheDannyNoriega Can't wait to see the video Danny!  I am sure it's going to be great!,cant wait see video danny sure going great,8,42
1,@shaneheadboy do what @nicolerichie said. leave soon! ,said leave soon,3,15
0,@yonderboy Good old integer overflows.  Might have to check it out myself properlyï¿½ Felt a bit like that since coming home this afternoon ,good old integer overflow might check properlyï½ felt bit like since coming home afternoon,14,90
1,@AshySwiftnas  ahhaj tanks you too...  i go to sleep but see you later! if you want tomorrow... goodbye girl!,ahhaj tank go sleep see later want tomorrow goodbye girl,10,56
0,wishes there was a Pastazio's new york pizza in fort worth ,wish wa pastazios new york pizza fort worth,8,43
0,@zenarchy @eddiecurrent its cool.. wish it had video ,cool wish video,3,15
1,"meeting you was fate, becoming your friend was a choice, but falling in love with you i had no control  over ",meeting wa fate becoming friend wa choice falling love control,10,62
0,last day of high school ever. ,last day high school ever,5,25
1,@brianjshoopman Thanks!  I'm in the same boat.  Trying to finish up a new collection--but then will probably start on a new book. ,thanks im boat trying finish new collectionbut probably start new book,11,70
0,cheeba is super sick (she's in the hospital)      i pray she gets well...,cheeba super sick shes hospital pray get well,8,45
1,Family time is good sometimes but not when everyone is acting fake. Hmmm ditching this and rocking out to uplifter..#311 makes me happy ,family time good sometimes everyone acting fake hmmm ditching rocking uplifter # 311 make happy,15,95
1,@chamelledesigns Quite the opposite! I'm sure it was all part of the plan  #masterchef,quite opposite im sure wa part plan # masterchef,9,48
1,"I am back from lunch, and not stuffed at all. I didn't eat much because I didn't feel like eating a lot, now I'm drinking Iced Tea ",back lunch stuffed didnt eat much didnt feel like eating lot im drinking iced tea,15,81
0,i have a tan line on one side but not the other  oh well i guess i'll have to tan somemore before grad ;),tan line one side oh well guess ill tan somemore grad,11,53
1,@vmdaemon sounds good. I will be sure to pick your brains on all things virtulisation ,sound good sure pick brain thing virtulisation,7,46
0,Morning LDN. This time tomorrow I'll be landing at T5... ,morning ldn time tomorrow ill landing t5,7,40
1,"Cul-de-sacs, the greatest threat to the world?   http://bit.ly/17vgj0",culdesacs greatest threat world,4,31
1,I love that &quot;just out of the shower&quot; feeling. ,love quotjust showerquot feeling,4,32
1,"@Smillie182 sweeeeet  Jack Whitehalls on it, *swoooon!* xxx",sweeeeet jack whitehall swoooon xxx,5,35
1,@rebeccamezzino don't worry I won't  I hate spoilers as much as you,dont worry wont hate spoiler much,6,33
1,@EnohIO You're an hour early but thank you! ,youre hour early thank,4,22
0,Morning all! Time to put on clothes and go to work... ,morning time put clothes go work,6,32
1,awkward family photos http://is.gd/OPvP So funny! ,awkward family photo funny,4,26
0,"@parisgraphics yeah, food is for fatties. unfortunately, top shelf vodka and organic nuts can really put a dent in one's wallet ",yeah food fatty unfortunately top shelf vodka organic nut really put dent one wallet,14,84
0,Just took Artie to the dog park &amp; realized he's peeing a bit of blood after exercise. I wonder if this is why his stamina's down too. ,took artie dog park amp realized peeing bit blood exercise wonder stamina,12,73
0,"I burnt my roast carrots  hitting the blues antidote, Superbad!",burnt roast carrot hitting blue antidote superbad,7,49
1,Officially given up on studying. I'll cram it all before the exam tomorrow ,officially given studying ill cram exam tomorrow,7,48
1,"Hey everyone... follow @therealcharice -- she has a crazy amazing singing voice! If you don't know Charice, you will soon. ",hey everyone follow ha crazy amazing singing voice dont know charice soon,12,73
0,bah! Starter in my car died today.  Don't know how much or how long it will take to get it fixed and get me back in my car.,bah starter car died today dont know much long take get fixed get back car,15,74
0,@KleeRose Me too!  But it was really good to see you anyway.,wa really good see anyway,5,25
1,reading up on CSS3 as a box of cookies sits in front of me. I'm resisting temptation ,reading css3 box cooky sits front im resisting temptation,9,57
1,"I've added an eleventh commandment...honor thy ears and soul... @honorsociety &lt;--everyone follow them, it's part of the sacred law ",ive added eleventh commandmenthonor thy ear soul lteveryone follow part sacred law,12,82
1,chris is bringing me another work shirt coz my only shirt is dirty from last night  gotta love my friends!!,chris bringing another work shirt coz shirt dirty last night got ta love friend,14,79
0,Hello guys im having trouble with twitter at the moment it wont let me chage my backgroud  xx Demmi,hello guy im trouble twitter moment wont let chage backgroud xx demmi,12,69
1,@LittleFletcher @wisteria_90 @EmsMcFlyer @tommcfly @gfalcone601  @zivklara #votemcfly http://www.musiqtone.com/  Pass it on x ,# votemcfly pas x,4,17
1,@RealSolutions22 Thanks ,thanks,1,6
0,missed the begining of flawless  what i saw was awesome! aiden is better than Goerge Sampson at least he made up a new dance for final!,missed begining flawless saw wa awesome aiden better goerge sampson least made new dance final,15,94
0,@wighty11 no! My friend couldn't make it ,friend couldnt make,3,19
0,"@LiceMonkey Bah, a concentrated effort from our foes Lyxanda and esmoves killed me off   #spymaster",bah concentrated effort foe lyxanda esmoves killed # spymaster,9,62
0,@juliuskoroll We consider too much the luck of the early bird and not the bad luck of the early worm.. Poor worm! ,consider much luck early bird bad luck early worm poor worm,11,59
1,"tired, but happy that i mussnï¿½t go to school ",tired happy mussnï½t go school,5,30
0,@LouGagliardi Good grief..  well don't let it go if you can help it. Are there any support groups at college for the economy ?,good grief well dont let go help support group college economy,11,62
1,@JaylaStarr @UndressJess   Make it a contest if u want ,make contest u want,4,19
0,@onesweettart @knitch football hooliganism. You're doing it right.  Poor coppers having to deal with the idiocy,football hooliganism youre right poor copper deal idiocy,8,56
0,The light is off and on and off and on and off again now ,light,1,5
0,"As I draw this Tellos commission, I'm realizing how much I miss this series. ",draw tellos commission im realizing much miss series,8,52
0,Calling it a night. Waking up very early tomorrow ,calling night waking early tomorrow,5,35
1,finally I'm back here in manila!!! thank God for a safe and sound trip!!! SHALOM!!! ,finally im back manila thank god safe sound trip shalom,10,55
0,Hand made.. manufactored in Italy...Ravishing...Why the eff did my heel break after 4 wears??? Im irked...Those shoes are irreplaceable ,hand made manufactored italyravishingwhy eff heel break 4 wear im irkedthose shoe irreplaceable,13,95
1,@AVogel75 hey I never got back to you. I don't know is my answer. Erdrich plays daily with the people who would be in. Talk to him. ,hey never got back dont know answer erdrich play daily people would talk,13,72
0,On the subject of frosty beer - My bloody fridge has conked and my beer is warm ,subject frosty beer bloody fridge ha conked beer warm,9,53
0,@exiter now you should management for myanmar word.. it need to approve 20 word... ,management myanmar word need approve 20 word,7,44
1,@boomerang3 none of them are lit right now if that is what you meant ,none lit right meant,4,20
0,Lakers parade is absolutly destroying my commute. Booooooooo Lakers. ,lakers parade absolutly destroying commute booooooooo lakers,7,60
0,so nervous for jv bball...  what if they reject me? quoth &quot;keep on trucking&quot; &lt;--[ haha so funny that marlissa accidentally quoted me (; ],nervous jv bball reject quoth quotkeep truckingquot lt haha funny marlissa accidentally quoted,13,94
0,@CookiieMonstaar I can't  I'm so bummed!,cant im bummed,3,14
1,Work til 10. Home to nap. Watching The Big Bang Theory all night. ,work til 10 home nap watching big bang theory night,10,51
1,@yulianasari thanks for asking brandon!!!  &lt;3 I think the cutest is nick but I love them equally. ,thanks asking brandon lt3 think cutest nick love equally,9,56
0,&quot;locked in&quot; stay home saturday cos mom's being vvvvvv selfish + over-expenditure yest. urgh ,quotlocked inquot stay home saturday co mom vvvvvv selfish overexpenditure yest urgh,12,84
1,@qjack1 GOOD song. ,good song,2,9
1,"@petemc Cheers man, yeah why not, im still 'on call' for the weather in New Brighton, so may as well do something ",cheer man yeah im still call weather new brighton may well something,12,68
1,@ooohlalai easy on the carbs.  so that the baby wont grow so big. you'll have a hard time pushing. cant wait for your lil one!!!,easy carbs baby wont grow big youll hard time pushing cant wait lil one,14,71
1,@JaylaStarr danmm he kills your ass :-o loll good one ,danmm kill loll good one,5,24
0,I could not record because the program .... sorry friends love ,could record program sorry friend love,6,38
1,@Impala_Guy Oh yeah i guess i could say that i am - particularly shy when i met someone in person that i donï¿½t know  And u?,oh yeah guess could say particularly shy met someone person donï½t know u,13,73
0,@hramsaeg that sucks  i just choose to be at work at a ridiculously early hour lol,suck choose work ridiculously early hour lol,7,44
0,"@virginiatits im so sorry love! Gosh i know how that is, and its never fun.  im here for you love.",im sorry love gosh know never fun im love,9,41
1,i love the summer and family guy it makes me laughy.... ,love summer family guy make laughy,6,34
1,is doing better now that i realize things now. thanks mexican ,better realize thing thanks mexican,5,35
1,BOINC Ð¿ÑÐ¸Ñ?ÑÑÐ¿Ð¸Ð» Ðº Ñ?Ð¸Ð¼ÑÐ»Ñ?ÑÐ¸Ð¸ Ð½ÐµÐ¹ÑÐ¾Ð½Ð½Ð¾Ð¹ Ñ?ÐµÑÐ¸ Ð´Ð»Ñ? Ñ?ÐºÑ?Ð¿ÐµÑÐ¸Ð¼ÐµÐ½ÑÐ° Ð¿Ð¾ Ñ?Ð¾Ð·Ð´Ð°Ð½Ð¸Ñ ÐÐ  The future is now ,boinc ðñðñññððð ðº ñðð¼ñðññðð ð½ðµð¹ñð¾ð½ð½ð¾ð¹ ñðµñð ððñ ñðºñððµñðð¼ðµð½ñð ðð¾ ñð¾ðððð½ðñ ðð future,12,100
1,"so sleepy. looking forward to a nice slow day of studying, chocolate, chai, house cleaning and possibly pj's all day ",sleepy looking forward nice slow day studying chocolate chai house cleaning possibly pjs day,14,92
1,@yaserawan: you should start taking classes from Sikander my younger brother on how to tackle these  he is a pro in such things,start taking class sikander younger brother tackle pro thing,9,60
0,"Jordy told me to tweet about him, so I am. He takes to long to text back  ",jordy told tweet take long text back,7,36
0,"tiiiired, just got back from my 8am final  sleeping a little before heading to work",tiiiired got back 8am final sleeping little heading work,9,56
0,@aniahime Oh *I* see.  So Anna is allowed to buy you a stuffed Eeyore but I'm not.  ,oh see anna allowed buy stuffed eeyore im,8,41
1,"I am very grateful for all the positive sentiment, being new to this medium I'm not sure how to thank you, I will do my best to inspire.. ",grateful positive sentiment new medium im sure thank best inspire,10,65
1,let's get down to business ,let get business,3,16
0,Back to the fires of hell!!  Maybe i'll try out my new bathing suit when I get there. Jealous of everyone continuing on to Jones Beach. ,back fire hell maybe ill try new bathing suit get jealous everyone continuing jones beach,15,89
1,... And that was 2 and a half hours too late for bed. Good night loves ,wa 2 half hour late bed good night love,9,39
1,time for bed!!! lvl 12 rogue ,time bed lvl 12 rogue,5,21
1,I really don't know what it is about this time of day which makes me wanna come on twitter! ,really dont know time day make wan na come twitter,10,50
0,Nice &amp; sunny outside.. but VERY windy  Why is UU/HU campus always so windy??,nice amp sunny outside windy uuhu campus always windy,9,53
1,is quite pleased with the way this week is kicking off... may the trend continue... ,quite pleased way week kicking may trend continue,8,49
1,Has just been to the post office. Expect snaps in 3 to 5 days. ,ha post office expect snap 3 5 day,8,34
0,"Rain, rain and more rain  Where is the 80 degree sunshine?",rain rain rain 80 degree sunshine,6,33
1,so I am officially done with my english 103 class ,officially done english 103 class,5,33
0,aWWW Poor Holly ,awww poor holly,3,15
1,@JaneDoes dont miss me too much. i am home now! ,dont miss much home,4,19
1,"@PhilipTruax It's all good. Feel free to jab away. That's what I get for not being more careful! Tho, WFT could = What Frakin Trash. ",good feel free jab away thats get careful tho wft could frakin trash,13,68
0,I MISS FACEBOOK ,miss facebook,2,13
1,"@jamiefarhat that's ok, I've got a  lot of english homework anyway ",thats ok ive got lot english homework anyway,8,44
1,@realityvsmaddie awh thats cute ,awh thats cute,3,14
0,@Proudmum3 I would take youngest to Dr or NHS Walk In.  Never mess about with high temp and little ones ,would take youngest dr nh walk never mess high temp little one,12,62
1,THE HANGOVER. do it bitches ,hangover bitch,2,14
0,"@tensh_iie Twitter is lame duck, I cannot block those strange followers ",twitter lame duck block strange follower,6,40
1,At the temple with awesome people ,temple awesome people,3,21
1,"@BridalOpulence - Morning, thanks for becoming a fan ",morning thanks becoming fan,4,27
0,@ohyeahwhoa waaaaaasssss?  och nein.... Traurig!,waaaaaasssss och nein traurig,4,29
1,OMG.... Kitten is asleep.. WOW. When to bed at about 8:30. Whatever my mom did. Thank you. ,omg kitten asleep wow bed 830 whatever mom thank,9,48
0,IS BOARD  N WANT 2 NOW WA I CAN DO LOL ,board n want 2 wa lol,6,21
1,"singing along to Queen, in the sun, good times ",singing along queen sun good time,6,33
1,@Vin07 The link was for joining our Google Friend Connect. You can join the group directly from our website..Thanks ,link wa joining google friend connect join group directly websitethanks,10,71
0,@selenagomez @ddlovato wish i could come there and meet with you guys! ,wish could come meet guy,5,24
0,@xraleighx the rain ruined my day ,rain ruined day,3,15
0,eughh need new clothess ,eughh need new clothes,4,22
1,"@citizendan ive thought about it, then i saw natalie portman in V for Vendetta &amp; realized i cld nvr look that awesome bald. salon it is.. ",ive thought saw natalie portman v vendetta amp realized cld nvr look awesome bald salon,15,87
0,I would love a home cooked meal right about now by papa livigne and hang by the pool w kar kar and jess.  and some other things......,would love home cooked meal right papa livigne hang pool w kar kar jess thing,15,77
1,Driving to grad night with jordan following ,driving grad night jordan following,5,35
0,is now on his flight to San Francisco...but is stuck in the middle seat for the long flight. ,flight san franciscobut stuck middle seat long flight,8,53
1,Gettin shit packed &amp; together for this weekenddd ,gettin shit packed amp together weekenddd,6,41
1,@thinkmaya - isn't she super nice.  I wasn't sure her video would play.,isnt super nice wasnt sure video would play,8,43
0,#iranelection is now blocked in Iran ,# iranelection blocked iran,4,27
1,"Also, just for anyone who was paying attention. Yes. I did quit smoking ",also anyone wa paying attention yes quit smoking,8,48
1,Just ate my sausage and eggs so im happy... Waiting till 12 when my little bros game starts... I love to watch them play ,ate sausage egg im happy waiting till 12 little bros game start love watch play,15,79
